null,Công nghệ chế tạo máy : dùng cho sinh viên các trường đại học và cao đẳng kỹ thuật,"Nguyễn Trọng Bình, Nguyễn Trọng Hiếu",Sách giáo trình,CNTT,CN4,http://data.lib.hutech.edu.vn/BookImg/72980.jpg,"Hà Nội : Giáo dục Việt Nam,  2011",2D,18,140000,41
null,250 bài tập kỹ thuật điện tử,"Nguyễn Thanh Trà, Thái Vĩnh Hiển.",Sách giáo trình,CNTT,CN4,http://data.lib.hutech.edu.vn/BookImg/41874.jpg,"Hà Nội : Giáo dục Việt Nam ,  2010",2C,15,135000,42
null,Bài giảng Dung sai lắp ghép và đo lường, Lê Đình Phương.,Sách giáo trình,CNTT,CN4,http://data.lib.hutech.edu.vn/BookImg/10742.jpg,Tp.HCM : HUTECH  2005,2D,16,47000,43
null,Dung sai lắp ghép và kỹ thuật đo lường,"Ninh Đức Tốn, Nguyễn Thị Xuân Bảy.",Sách giáo trình,CNTT,CN4,http://data.lib.hutech.edu.vn/BookImg/41830.jpg,"Hà Nội : Giáo dục Việt Nam ,  2009",2C,17,130000,44
null,Giáo trình vi điều khiển PIC16F và ngôn ngữ lập trình HI - TECH C," Nguyễn Trường Thịnh, Nguyễn Tấn Nó",Sách giáo trình,CNTT,CN4,http://data.lib.hutech.edu.vn/BookImg/Default.jpg,"TP.HCM : Đại học Quốc gia TP.HCM,  2013",2D,18,140000,45
null,How to do everything with online video [electronic resource],Andrew Shalat.,Sách giáo trình,CNTT,CN5,http://data.lib.hutech.edu.vn/BookImg/44760.jpg,"San Francisco : McGraw-Hill,  2008",3A,17,135000,46
null,Kỹ thuật biên tập và dựng video với Windows Movie Maker,Nguyễn Đình Tê tập thể tác giả.,Sách giáo trình,CNTT,CN5,http://data.lib.hutech.edu.vn/BookImg/283200.jpg," Hà Nội : Lao động - Xã hội,  2008",3A,18,47000,47
null,Bí quyết vẽ ký họa,Huỳnh Phạm Hương Trang.,Sách giáo trình,CNTT,CN5,http://data.lib.hutech.edu.vn/BookImg/24694.jpg," Hà Nội : Mỹ thuật ,  2005",3B,15,140000,48
null,Học vẽ có phương pháp : sách dạy thiếu nhi,"Anh Vũ, Lê Thanh.",Sách tham khảo,CNTT,CN5,http://data.lib.hutech.edu.vn/BookImg/147918.jpg," TPHCM : Trẻ,  2000",3A,16,135000,49
null,Art of Drawing People : Discover simple techniques for drawing a variety of figures and Portraits,,Sách tham khảo,CNTT,CN5,http://data.lib.hutech.edu.vn/BookImg/157904.jpg, Irvine : Minneapolis : Quarto Publishing Group USA Quayside [Distributor]  2008,3B,17,47000,50
null,Biểu hiện chân dung phác họa nhiều góc độ,"Gia Bảo, Anh Tuấn, Đoàn Loan",Sách giáo trình,CNTT,CN5,http://data.lib.hutech.edu.vn/BookImg/79433.jpg," Hà Nội : Mỹ thuật,  2012",3A,18,130000,51
null,Bước đầu của nghệ thuật vẽ kết cấu người,Gia Bảo.,Sách giáo trình,CNTT,CN5,http://data.lib.hutech.edu.vn/BookImg/41960.jpg," Hà Nội : Mỹ thuật,  2012",3B,17,140000,52
null,802.11 Wireless Network Site Surveying and Installation,Bruce E. Alexander.,Sách giáo trình,CNTT,CN6,http://data.lib.hutech.edu.vn/BookImg/8861.jpg,"Indianapolis : Cisco,  2004",3C,17,140000,53
null,A practical guide to content delivery networks, Gilbert Held.,Sách giáo trình,CNTT,CN6,http://data.lib.hutech.edu.vn/BookImg/71579.jpg," Boca Raton : CRC Press,  2011",3D,18,135000,54
